feedback_times,probabilityLeft,contrastLeft,feedbackType,goCue_times,stimOn_times,choice,rewardVolume,firstMovement_times,contrastRight,response_times
44.3375,0.5,,-1.0,4.3596,,1.0,0.0,44.008798574141686,0.25,44.308
49.4592,0.5,,1.0,48.270900000000005,48.234300000000005,-1.0,1.5,49.21279857414111,1.0,49.4591
53.5256,0.5,,-1.0,53.3486,53.317499999999995,1.0,0.0,53.26279857414066,0.0,53.4814
57.7641,0.5,,-1.0,56.998999999999995,56.9674,1.0,0.0,57.131798574140234,0.0,57.73349999999999
64.13090000000001,0.5,,-1.0,62.4577,62.42590000000001,1.0,0.0,63.624798574139525,0.0,64.0981
72.5219,0.5,0.0625,-1.0,68.1364,68.1092,-1.0,0.0,69.51479857413888,,72.4928
80.1165,0.5,,1.0,77.45949999999999,77.4255,-1.0,1.5,79.94679857413773,0.0625,80.1164
83.95429999999999,0.5,0.25,-1.0,83.80529999999999,83.77539999999999,-1.0,0.0,83.69979857413732,,83.91499999999999
88.21390000000001,0.5,1.0,1.0,87.8078,87.7754,1.0,1.5,87.91679857413685,,88.2138
91.25869999999999,0.5,0.0625,1.0,90.9572,90.9254,1.0,1.5,91.0017985741365,,91.2586
96.1012,0.5,0.0625,1.0,95.08670000000001,95.05850000000001,1.0,1.5,95.90979857413596,,96.1011
98.99029999999999,0.5,0.0,1.0,98.80409999999999,98.7667,1.0,1.5,98.77479857413564,,98.99019999999999
102.7086,0.5,1.0,1.0,102.3776,102.3415,1.0,1.5,102.41679857413526,,102.7085
106.4377,0.5,0.125,1.0,106.131,106.0998,1.0,1.5,106.17079857413484,,106.4376
109.1694,0.5,,-1.0,108.92039999999999,108.8915,1.0,0.0,108.92079857413454,0.25,109.1249
112.9479,0.5,,1.0,112.6868,112.6583,-1.0,1.5,112.68679857413412,1.0,112.9478
118.04549999999999,0.5,,-1.0,115.9202,115.8915,1.0,0.0,116.75179857413367,0.0,118.0123
122.0015,0.5,1.0,1.0,121.7149,121.68289999999999,1.0,1.5,121.77779857413312,,122.00139999999999
125.036,0.5,0.0,1.0,124.62030000000001,124.59130000000002,1.0,1.5,124.6857985741328,,125.0359
129.04579999999999,0.5,,-1.0,128.7168,128.6912,1.0,0.0,128.77479857413235,0.0625,129.01579999999998
133.136,0.5,,1.0,132.8143,132.7828,-1.0,1.5,132.8717985741319,1.0,133.1359
137.55499999999998,0.5,0.125,1.0,137.0958,137.0655,1.0,1.5,137.13879857413144,,137.5549
141.4944,0.5,0.125,1.0,140.92530000000002,140.88240000000002,1.0,1.5,141.018798574131,,141.4943
144.6098,0.5,0.0,1.0,144.1027,144.0659,1.0,1.5,144.30279857413066,,144.6097
148.36919999999998,0.5,,-1.0,148.16019999999997,148.12419999999997,1.0,0.0,148.1667985741302,0.0625,148.33819999999997
